name,location,about,email,phone
CBK PAN,"Warsaw, Poland","We're scientific research institute, part of Polish Academy of Sciences, devoted to space research in general, as well as, space technology development.
The largest entity of this kind in Poland, with rich and longstanding heritage of delivering space hardware on different celestial bodies.
If science stems from curiosity and engineering stems from practicality, then our goal is to build super useful stuff for humanity to expand our knowledge about universe... and ask even more questions! ",rgraczyk@cbk.waw.pl,+48224966397
ICEYE,"Espoo, Finland","ICEYE empowers others to make better decisions in governmental and commercial industries by providing access to timely and reliable satellite imagery. The company is tackling this crucial lack of actionable information with world-first aerospace capabilities and a New Space approach. ICEYE’s radar satellite imaging service, with coverage of selected areas every few hours, both day and night, helps clients resolve challenges in sectors such as maritime, disaster management, insurance, finance, security, and intelligence. ",,
Deep Space Industries,"San Jose, CA, USA","For almost 60 years, NASA dominated space and inspired generations, but when they relinquished low Earth orbit to private companies like SpaceX and Planet Labs, a revolution began. Fast-moving startups have increased innovation and lowered costs in unprecedented ways. But no private company has ventured on its own into the largest potential market, deep space. 

At Deep Space Industries, we are building a new type of spacecraft that drives down the cost of access to deep space as much as 50x lower than current solutions. Our spacecraft gives private companies and government agencies low-cost access to high-Earth orbits, Lunar orbits, near Earth asteroids, Venus, and even Mars, helping to unlock commercial opportunities in the largest segment of the space market. 

In pushing the limits of technology to new frontiers, we intend to help unlock watershed insights and new resources throughout the inner solar system. Our initial focus will be powering scientific, exploratory, commercial, and government missions using our Xplorer spacecraft. As commercial space activities proliferate, we will employ our technology to conduct asteroid science and exploration, support activities such as manufacturing in space, and enter other lucrative vertical markets.",careers@deepspaceindustries.com,855-855-7755
VisionSpace Technologies GmbH,"Darmstadt, Germany","VisionSpace is a NewSpace company developing enterprise-grade software solutions for science and commercial satellite missions. We are a reliable and experienced partner for satellite and ground station monitoring and control systems, using automation and artificial intelligence applications. ",hello@visionspace.com,+49 6151 62 922 70
OHB-System AG,"Bremen, Germany & Oberpfaffenhofen, Germany","3,2,1, lift off...

At OHB System AG, you will be part of one of the most successful European space companies. Some 2,800 committed people work on technological projects of the future within the OHB Group in Germany, France, Italy, Belgium, Sweden and Luxembourg. We are on an expansionary course and always interested in further well-qualified staff for our two strong facilities in Bremen and Oberpfaffenhofen.

At OHB you will find an efficient corporate structure with flat hierarchies and short decision-making routes, giving you the scope for enhancing your personal and professional development. By working in international multi-discipline project teams, you will enjoy a high degree of scope for creativity, independence and self-initiative. You will be able to tap your creative potential in various technologically advanced projects.

We look forward to benefiting from your ideas, commitment, stamina, flexibility, team spirit and dedication. We invite you to send us your application today and to join us in working on some of the most revolutionary space projects of our times.",info@ohb.de,
Space Individuals,"Vienna, Austria",We want to offer our support to the space industry by connecting those who long to explore space with those companies that will make it happen. This is what drives us to develop our platform. If you are one of the people ready to face the final frontier — we're there for you.,welcome@spaceindividuals.com,
Honeybee Robotics,"Longmont, CO, USA","Since 1983 Honeybee Robotics has been creating the world’s most advanced robotics systems for the world’s toughest environments. With projects ranging from Planetary Exploration to Open-Source Software and Spacecraft Systems, Honeybee Robotics has exciting opportunities in a wide variety of Research and Development fields.  With locations in Longmont CO, Pasadena CA and Brooklyn NY, we offer impactful career opportunities coast to coast.",kmschielke@honeybeerobotics.com,
Analytical Space,"Boston, MA, USA","Analytical Space, Inc. (ASI) is a venture-backed startup developing a network of small satellites that use a combination of RF and laser communication to provide global data relay services. The network will connect remote sensing satellites while they would otherwise be idle, such as over the ocean, enabling greater data throughput and lower latency. The company has completed and just launched its first satellite, which is roughly the size of a shoebox, and is now moving to support initial operations, plan future satellites and continue exploring new business development opportunities.

Backed by MIT’s The Engine, Flybridge and other top-tier investors, ASI was founded by Harvard Business School graduates with deep experience in space policy and technology development. The team's background includes careers and stints at NASA, the White House, MIT, CalTech, Florida Tech, and Harvard. The company is advised by a blue ribbon advisory committee comprised of space, government and commercial veterans.",david.payne@analyticalspace.com,
WGS Workgroup Solutions GmbH,"Darmstadt, Germany","WGS Workgroup Solutions GmbH is a German company founded in 2013 and based in Darmstadt (Germany). WGS is focused in providing excellent engineering and consulting services to European companies and institutions in the space sector. Its team consists of highly skilled and motivated professionals with many years of experience in their respective fields.

The company is currently running several Consultancy and Services contracts for our main customer, EUMETSAT, in Germany.
WGS was awarded a Frame Contract in the Astrodynamics Domain by ESA/ESOC and runs operations in the Netherlands for our customer ESA/ESTEC.
WGS runs a consultancy service at the European Southern Observatory (ESO) near Munich.",info@workgroup-solutions.com,
Spire,"San Francisco, Boulder, Glasgow, Singapore, Luxembourg","Spire is a satellite-powered data company that tackles the world’s most unpredictable business challenges with truly global data solutions. By providing unique data from any point on Earth, every hour, Spire offers a competitive advantage for organizations that require insight into areas such as global trade, weather, shipping and supply chain, illegal fishing, and maritime domain awareness.",,
Rocket Lab,"Huntington Beach, CA, USA","Rocket Lab’s mission is to remove the barriers to commercial space by providing frequent launch opportunities to low Earth orbit. Since its creation in 2006 by Peter Beck, Rocket Lab has delivered a range of complete rocket systems and technologies for fast and affordable payload deployment.

Rocket Lab is a private company, with major investors including Khosla Ventures, Bessemer Venture Partners, Data Collective, Promus Ventures, Lockheed Martin and K1W1.",careers@rocketlab.co.nz,
UbiquitiLink Inc,"Falls Church, VA, USA","UbiquitiLink is a space communications venture with a novel idea for a constellation of nanosatellites dedicated to narrowband IoT/M2M communications. Founded by experienced commercial space entrepreneurs, the company is looking for an RF/Electrical Engineer who can support the venture’s efforts to build out and test the key technologies related to the firm’s space and ground payloads. If you love working with SDRs, Antennas, single-board computers, FPGAs, GPUs, CPUs, and SoCs, then you should come help UbiquitiLink build the most novel communications system the world has ever seen.",careers@ubiquitilink.com,
STFC,"Harwell, Didcot OX11, UK","Helping build a globally competitive, knowledge-based UK economy
We are a world-leading multi-disciplinary science organisation, and our goal is to deliver economic, societal, scientific and international benefits to the UK and its people – and more broadly to the world. Our strength comes from our distinct but interrelated functions:

Universities: we support university-based research, innovation and skills development in astronomy, particle physics, nuclear physics, and space science
Scientific Facilities: we provide access to world-leading, large-scale facilities across a range of physical and life sciences, enabling research, innovation and skills training in these areas
National Campuses: we work with partners to build National Science and Innovation Campuses based around our National Laboratories to promote academic and industrial collaboration and translation of our research to market through direct interaction with industry
Inspiring and Involving: we help ensure a future pipeline of skilled and enthusiastic young people by using the excitement of our sciences to encourage wider take-up of STEM subjects in school and future life (science, technology, engineering and mathematics)
We support an academic community of around 1,700 in particle physics, nuclear physics, and astronomy including space science, who work at more than 50 universities and research institutes in the UK, Europe, Japan and the United States, including a rolling cohort of more than 900 PhD students.

STFC-funded universities produce physics postgraduates with outstanding high-end scientific, analytic and technical skills who on graduation enjoy almost full employment. Roughly half of our PhD students continue in research, sustaining national capability and creating the bedrock of the UK’s scientific excellence. The remainder - much valued for their numerical, problem solving and project management skills - choose equally important industrial, commercial or government careers.

Our large-scale scientific facilities in the UK and Europe are used by more than 3,500 users each year, carrying out more than 2,000 experiments and generating around 900 publications. The facilities provide a range of research techniques using neutrons, muons, lasers and x-rays, and high performance computing and complex analysis of large data sets.

They are used by scientists across a huge variety of science disciplines ranging from the physical and heritage sciences to medicine, biosciences, the environment, energy, and more. These facilities provide a massive productivity boost for UK science, as well as unique capabilities for UK industry.

Our two Campuses are based around our Rutherford Appleton Laboratory at Harwell in Oxfordshire, and our Daresbury Laboratory in Cheshire – each of which offers a different cluster of technological expertise that underpins and ties together diverse research fields. 

The combination of access to world-class research facilities and scientists, office and laboratory space, business support, and an environment which encourages innovation has proven a compelling combination, attracting start-ups, SMEs and large blue chips such as IBM and Unilever.

We think our science is awesome – and we know students, teachers and parents think so too. That’s why we run an extensive Public Engagement and science communication programme, ranging from loans to schools of Moon Rocks, funding support for academics to inspire more young people, embedding public engagement in our funded grant programme, and running a series of lectures, travelling exhibitions and visits to our sites across the year.

Ninety per cent of physics undergraduates say that they were attracted to the course by our sciences, and applications for physics courses are up – despite an overall decline in university enrolment.",,
TTTech Computertechnik AG,"Vienna, Austria","TTTech Computertechnik AG is the technology leader in robust networked safety controls. Our solutions and best-in-class products improve the safety and reliability of networked computer systems and are used in various industries such as automotive, aerospace, off-highway, energy production, railway and industrial.",career@tttech.com,0043158534340
Maana Electric,"Luxembourg City, Luxembourg","Maana Electric is an innovative startup which is using space industry technologies for the production of solar panels on Earth and in Space. Maana aims to produce better and emission free solar panels for Earth to accelerate the transition to clean & sustainable energy sources. In the long term Maana aims to produce solar panels on the Moon and other celestial bodies; using its technologies for the advancement of the human race beyond our planet. The founding team of Maana stems from the space industry and is made up of successful engineers, scientists and entrepreneurs.
",hr@maanaelectric.com,
IMMEDIA,"Madrid, Spain","Immedia is a company formed by Software Engineers, with a long trajectory in the execution of technological projects carried out in organizations of the Space sector, covering several fields of management:
- Project Portfolio Management (PPM)
- Information Management (IM)
- Knowledge Management (KM)

We actively support the professional and personal development of our people, promoting an efficient and flexible work environment, and reflecting it to our clients in every service we provide.

As a qualified partner of the European Space Agency (ESA-ESOC) in the domain of Information Technology, IMMEDIA demonstrates that being a flexible, committed and specialized organization, provides solutions with high added value even in complex work environments.",rrhh@immediait.com,+34 638012005
Nitrexo,"Midleton, Co. Cork, Ireland","
Nitrexo’s Expertise

Thermal engineering, particularly in the space industry, is the expertise of Nitrexo, a start-up company based in Ireland. The company provides engineering and consultancy services, as well as digital solutions, thermal analysis reports, and various space products, to its clients.

Nitrexo’s competence involves using ESATAN-TMS® for conducting thermal analyses on space systems and sub-systems prior to the implementation of the thermal design. This ensures that the device or product that undergoes analysis and testing will function effectively under certain space conditions.

In addition, the company specializes in payloads, system level, solar panels, mechanisms, instruments, antennas, sensors, mirrors, electronics, optoelectronics devices for satellites, rockets, microelectronic components, and ground support equipment. Clients are also assured of receiving a thermal analysis reports on their projects.

Having completed projects for the European Space Agency and QinetiQ, Nitrexo’s strengths include running tests and verifications, as well as the integration of improvements to various engineering designs and processes.

Nitrexo’s Mission and Vision

Nitrexo believes in democratic ways of doing things to achieve competence and expertise, particularly in the field of space thermal engineering. In this regard, it uses education as an effective platform and tool for enhancing people’s capabilities.

Through its digital solutions, it aims to provide any interested party--whether business entities or individuals--equal access to educational and skills enhancement materials and applications that will help them create and innovate effectively.

Knowledge Management

Nitrexo guarantees that its training programs are not limited only to the transfer of theoretical knowledge to thermal engineers but that they also teach them how to accurately apply such knowledge in their field of work. Thus, Nitrexo trainings are designed to ensure a delightful user experience.
",info@nitrexo.com,
OneWeb,"Tysons, VA, USA","OneWeb's mission is to enable Internet access for everyone, everywhere.  We want to see the next generation even more connected than the last, and to create opportunities for people today to access the opportunities made possible through the Internet.  To fulfill our mission, OneWeb is revolutionizing the satellite industry and building a global communications network with a constellation of Low Earth Orbit satellites that will provide connectivity to people around the world.  OneWeb is creating business solutions for Broadband, Government and Cellular Backhaul.  It’s high speed, low latency  network will offer game-changing Mobility solutions to industries that rely on global connectivity, such as Aviation, Maritime, Automotive, Trains, and more.",csilva@oneweb.net,571-336-7190
AGC,"Oklahoma City, USA",,,
EMSISTI Space Systems & Tecnology,"Parque Tecnológico de São José dos Campos. Estrada Dr. Altino Bondensan, 500 - Eugênio de Melo, São José dos Campos - SP, 12247-016, Brazil","The EMSISTI is a Brazilian company founded in 2010 dedicated to the design, development, verification, validation and integration of critical systems for applications in space, automotive, aeronautical and financial platforms.",emsisti@emsisti.com.br,+5512981486500
Gooch & Housego,"Torquay, UK","Gooch & Housego is a global leader in photonics technology. Our expertise extends from research through the development of prototypes to volume manufacturing and enables innovation and effective manufacturing in the aerospace & defence, industrial, life sciences and scientific research (big science) sectors. 
Our world-leading space photonics R&D group - based in Torquay, UK-  is spearheading the   development of  ground-breaking systems for communication and sensing to be deployed in next-generation laser-equipped satellite constellations and UAV swarms.      ",amcbride@goochandhousego.com,01460256474
Dinamico Aerospace,"Metropolitan City of Milan, Italy","Dinamico Aerospace is a leading supplier and broker of advanced aerospace products, service and support to commercial and government clients around the world. With 12 international offices and technical support staff located worldwide, Dinamico Aerospace serves as a critical link in the global aerospace supply chain.",sales@dinamico.space,390230323875
We are Quattro,"Bristol, UK","We have 30+ years combined experience recruiting into the Space sector.

We have knowledge of projects that comprise of design, build, launch, control, data and apps.

Already we have been involved in projects in the areas of AI and machine learning for rovers; Machine learning for Earth Observation data; Cubesat's utilising IoT; Cubesat design and launch; In orbit servicing; Complex mathematical modelling for satellite control; Complex optics; Advanced classification techniques for agriculture.... To name a few!

So far 100% of our customers would use us again and recommend us and our rating is 4.8 out of 5 (I guess nobody is perfect!!) Some example testimonials can be seen below.
",info@wearequattro.co.uk,0044 117 203 4444
CERN,"Geneva, Switzerland","Imagine taking part in the largest scientific experiment in the world. CERN needs more than physicists, engineers and technicians – if you’re a student or a graduate just starting your career, or are an experienced professional - whatever your field of expertise, CERN could be your next opportunity. CERN, Take Part!

CERN is a truly unique organisation. A genuine collaboration between countries, universities and scientists, driven not by profit margins, but by a commitment to create and share knowledge.
People here are part of immense scientific discoveries, answering some of life’s most complex questions and pushing the boundaries of understanding. Experts from every field come here to share in this ambition and the nature of this collaborative, international community creates a genuine atmosphere of trust. People are free to work creatively and to trust in, and rely on, their colleagues across the organisation.

History’s being made here – and the excitement is tangible, inspiring, overwhelming at times. It is the only place in the world that you can do this work in this way.",recruitment.service@cern.ch,
Terma Group,"Darmstadt, Germany","At Terma our people make the difference. We employ talented, dedicated people to deliver integration and engineering solutions that help meet aerospace, defense, and security challenges. We are continually looking for highly qualified candidates to join in contributing to our outstanding team. If you're looking for a career where your expertise can make a difference, look to Terma.",recruitment.de@terma.com,+49 6151 86005-0
Space Impulse,"London, UK","Space Impulse was founded with a mission to lower space industry costs and accelerate times to orbit on a global B2B e-marketplace platform. The platform applies the security, transparency, and standardization advantages of blockchain and smart-contract technology to streamline industry supply chain integration. By fulfilling this mission, the company will help to clear and widen the pathway linking Earth and space, and empower a thriving and expanding space industry ecosystem.",hr@spaceimpulse.com,
EUMETSAT,"Darmstadt, Germany","As an intergovernmental European Organisation, EUMETSAT has 30 Member States (Austria, Belgium, Bulgaria, Croatia, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Lithuania, Luxembourg, The Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Switzerland, Turkey and the United Kingdom).",bertrand.theodore@eumetsat.int,+4961518077
T4i Technology for Propulsion and Innovation Srl,"Padua, Province of Padua, Italy",We're a start-up that provides the space market with innovative propulsion systems and services and develop disruptive space technologies to answer demanding aerospace market requests: our mission is to satisfy the need of smart solutions for miniaturized satellites and small rockets. Key products are electric and chemical propulsion systems for in-space and launcher applications.,careers@t4innovation.com,049 927 1547
Adamant Composites,"Patras, Greece","Adamant Composites Ltd is an industrial SME working on high-tech applications of Advanced Materials and Structures supporting our International Customers with design, manufacturing and new technologies for their products. We are a dynamic Small Company based in Patras, Greece, offering our employees state-of-the-art engineering projects, flexible working hours, and stable working environment in a competitive package. Since 2012 that the company started we have been growing, eventually creating a team of 15 engineers and technicians. ",info@adamant-composites.gr,+302610931730
Philotech Systementwicklung und Software GmbH,"Taufkirchen, Germany","Philotech, your partner for engineering and consulting

Since more then 30 years, we have offered services covering the complete lifecycle of technical systems from concepts, design, development to customer services and certification to contribute to our customers' value creation.

We are operating in an international oriented infrastructure within Europe.

Our creative teams consist of highly qualified and motivated engineers who are facing the challenge of solving complex projects.

Philotech offers services across several industries as work packages, service contracts as well as temporary work. Highly specialized experts are developing complex solutions in close co-operation with our customers.",ralf.molzahn@philotech.de,+49 151 55 02 09 99
HyImpulse Technologies GmbH,"74239 Hardthausen am Kocher, Germany","HyImpulse is a New-Space start-up based in Hardthausen, Germany. HyImpulse was founded by 5 DLR employees with excellent experience in chemical and hybrid rocket propulsion as well as a good network in the international space industry. ",career@hyimpulse.de,+4915126577936
HE Space,"Flughafenallee 24, 28199 Bremen, Germany","HE Space Operations is a privately-owned company, operating internationally with offices in the Netherlands, Germany and the USA. HE Space Operations is specialised in personnel recruitment with its focus exclusively on space agencies and the space industry. Our recruitment team combines human resource competence with technical expertise in order to seek out highly educated and motivated professionals. Our current staff originate from all over Europe and beyond and possess a wide range of capabilities in engineering, science and general administration. 

In 2014, HE Space won the German Corporate Social Responsibility Award for Gender Diversity. We provide expert engineering, scientific, management and administration support to the main ESA establishments and to EUMETSAT. Our industry customers include Airbus Defence and Space, ArianeGroup, OHB Systems, DLR GfR, Thales Alenia, Rovsing, Jena-Optronik, TESAT Spacecom, IABG, STI Space tecdh and Mynaric. Our staff have made significant contributions to many of Europe’s most exciting space projects. 

Imprint: https://www.hespace.com/imprint",jobs@hespace.com,
Sitec a Belcan Company,"Bristol, UK","Established in 1951, Sitec is a privately owned engineering service company, providing engineering and recruitment solutions to many blue chip clients across a range of sectors including Aerospace, Nuclear, Defence and Petro-Chemical. 
With a reputation for technical excellence, we have a proven record of providing engineering support solutions to clients to meet their outsourcing needs and also offer tailored staffing solutions to provide clients with both temporary and permanent staff.",cdoyle@belcan.com,01179792396
Cosmic Futures,"Bristol, UK","Our vision is to solve the Space industry’s talent deficit, so that talent needs will be able to meet growth demands for future generations. We aim to do this by combining our disruptive ideas and industry experience in engineering, to provide you with a unique recruitment solution that is simple and effective. Whilst we are enabling individuals and businesses in the present, we are also investing in long term solutions by working alongside educational institutions to encourage the next generation to pursue of a career in the Space industry, paving the talent foundations of tomorrow.

Whether you are a start-up in the New Space market looking to expand, an established player in search of a specialist or an individual looking for a career change, we can help you reach success in your mission.",enquiries@cosmicfutures.space,0044 (0) 1173 705 745
Space Applications Services NV/SA,"1932 Brussels Area (St-Stevens-Woluwe), Belgium","Space Applications Services NV/SA Head Office is in Brussels, Europe with a subsidiary, Aerospace Applications North America Inc. in Houston, USA. Space Applications Services Belgium is EN 9100 certified.

We have recently celebrated 30 years of experience and success in the space business in developing systems for the European Space Agency (ESA), National Space Agencies, the aerospace industry as well as for the security markets industries.

The group is consistently growing, developing new strengths and capabilities: we work on some of the most demanding and challenging space projects, including the International Space Station, Orion, Dream Chaser, ExoMars and on some of the most advanced systems, Space Exoskeleton, Atomic Clock Ensemble in Space, Electromagnetic Levitator, Fluid Science Laboratory.
At the head office in Belgium we have laboratories, workshop and clean-room facilities. 

We are passionate about what we do and our group is characterised by an atmosphere of pride in our achievements, commitment and teamwork.
We are forward looking and engaged in the emerging market of Low Earth Orbit commercialisation with our International Commercial Experiment Cubes Service (an European first) and are developing a lunar rover as well as researching In Situ Resource Utilisation.",jobs@spaceapplications.com,+32(0)2 721 54 84
Blue Skies Space,"London, UK","We are pioneering a new model of building and operating satellite to offer science as a service direct to researchers in universities across the globe.  We are starting the detailed design of our first satellite, Twinkle, designed to research exoplanets and asteroids.  ",Philip.windred@bssl.space,07785387722
Serco Europe,"Germany, Netherlands, Spain, UK, Belgium (present in over 30 countries around the world)","The Serco Group is a FTSE 250 corporation with over 60,000 staff in 30 countries. Our strategy is to be a superb provider of public services, by being the best managed business in our sector. We are a focused business to government (B2G) business, specialising across five sectors: Defence, Justice & Immigration, Transport, Health and Citizen Services. ",space.careers@serco.com,+49 (0) 6151 812780
RHEA Group,"Wavre, Belgium","25 years of experience in the professional engineering service market. RHEA Group opens the world to the engineering services of tomorrow. RHEA Group’s background and roots are within space, and it has grown and expanded to other fields, including concurrent design, cloud computing, and security and crisis management.

RHEA Group employs scientist and engineers worldwide. The company has supported more than 100 spacecraft, covering space missions such as Rosetta, Mars Express, Copernicus, and Galileo with the Manufacturing and Operations Information System (MOIS). Top clients include the European Space Agency, Canadian Government, EUMETSAT, the European Commission, EBU, CERN, NATO, Belspo.

Headquartered in Belgium, RHEA Group also operates in Canada, Czech Republic, Italy, France, Germany, Spain, Switzerland, The Netherlands and the United Kingdom.",info@rheagroup.com,+32 10 48 72 50
Spacedarts,"Madrid, Spain",Spacedarts is a spacetech startup of mass production of micro launchers for small satellites to LEO.,eugene.k@spacedarts.space,+7-916-178-2732
Morehead State University,"Morehead, KY","Morehead State University (MSU) is a comprehensive public university with robust undergraduate and graduate programs, emerging doctoral programs, and an emphasis on regional engagement. MSU aspires to be the best public regional university in the South through prioritizing student success; outcomes; academic excellence; and rankings, reputation and regional responsiveness.
 
MSU is located in the foothills of the Daniel Boone National Forest in Rowan County, Kentucky. Founded in 1887 as Morehead Normal School, it was a private, church-supported institution known as “a light to the mountains.” In 1926, it became part of the state-supported system and was renamed Morehead State Normal School and Teacher’s College. An increase in enrollment and degree programs resulted in successive renaming as Morehead State College (1948) and its current designation as Morehead State University (1966).",humanresources@moreheadstate.edu,606-783-2097
FENTISS,"Valencia, Spain",We are a SME spinned-off from the Technical University of Valencia more than 10 years ago.<br />,rrhh@fentiss.com,+34 963 294 704
VHR,"London, UK","VHR is an international technical recruitment organisation providing solutions to the Aerospace & Aviation, F1 & Automotive, Engineering & Defence and Marine industries around the world.",maxwell.davies@v-hr.com,02077400042
Space Talos Ltd.,"London, UK",Space Τalos Ltd. is a deep tech startup that provides a practical active shielding solution for protecting the electronics of satellites against space radiation. ,info@spacetalos.co.uk,
GMV,"Madrid, Spain","GMV is a private-capital Spanish technological
business group trading on a worldwide scale.
Founded in 1984 it operates in eight main sectors:
Aeronautics, Space, Defense, Healthcare, Security,
Transport, Telecommunications, Information
technologies for the general government and major
companies.
GMV currently runs 8 work centers in Spain and
offices in France, Germany, India, Malaysia, Poland,
Portugal, Romania, USA, Colombia and United
Kingdom.",recruiting@gmv.com,
Celestia Technologies Group (CTG),"Noordwijk, Netherlands","Celestia Technologies Group is an international multi technology group based on innovation, investigation and development of high technology products key factors to a steady growth.

The individual companies of Celestia Technologies Group operate in the defence, space, wireless, governmental and medical segments offering state of the art products supported by an extensive background of R&D activities
",palmag@celestia-tech.com,+34 606 11 58 41
Malin Space Science Systems,"San Diego, CA, USA","Malin Space Science Systems (MSSS) designs, builds, and operates space camera systems for government and commercial aerospace customers.
",bgallo@msss.com,858-552-2650
Pixxel,"Bengaluru, Karnataka, India","Pixxel is a start-up working on building and launching a constellation of remote sensing small satellites for earth observation. Our satellites will provide global coverage as they beam down near-real-time information-rich satellite imagery like never before with images of every location on the planet, every 24 hours. The goal is to use this satellite data to provide actionable insights in agriculture, mining and a host of other applications.",contact@pixxel.co.in,+919952732660
QSR Consulting,"Lisbon, Portugal",QSR is a strategy consulting firm developing high-end solutions within human capital.,info@qsr.consulting,+351 211 359 758
Kongsberg Defence & Aerospace; Space & Surveillance Division,Norway,"Two centuries of innovation, transformation and delivering results, has made Kongsberg Defence & Aerospace, a recognised global technology leader. We take pride in developing advanced technology and products of strategic importance, to nations around the world.

The Space & Surveillance division delivers a broad spectrum of systems and electronics for launchers and spacecrafts. It also offers ground systems and services, related to processing satellite data. We provide this to space and maritime surveillance customers, in more than 40 countries around the world.

The Space & Surveillance division consists of five operational units;

Space Systems
Space Electronics
Space Ground Systems
Kongsberg Norcontrol AS
Kongsberg Satellite Services AS (50% owned by Space Norway AS)",even.froen@kongsberg.com,00 47 9099 0860
Swedish Space Corporation,"Solna, Sweden","WE HELP EARTH BENEFIT FROM SPACE

SSC - Swedish Space Corporation - is a leading global provider of advanced space services with more than fifty years of experience. Since our start pioneering scientific rocket launches in northern Sweden, we have grown into a renowned, full-service supplier of state-of-the-art space engineering, satellite and launch services to commercial and institutional customers worldwide.
",info@sscspace.com,
ASYSOL S.L,"39008 Santander, Cantabria, Spain","Antenna Systems Solutions (ASYSOL), strives to lead in the invention, development and manufacture of the RF industry's most advanced antenna  systems, including antenna metrology, antenna development, microwave components, automation and software. We translate these advanced technologies into value for our customers through our professional solutions, services, consultancy, professional training and valued employees worldwide.",jvega@asysol.com,+34 606864017
CGI Deutschland,"Darmstadt / Bochum / Cologne / Duesseldorf, Germany","CGI is one of the few end-to-end consulting firms with the scale, reach, capabilities and commitment to meet clients’ enterprise digital transformation needs. Our 77,500 consultants and professionals work side-by-side with clients in 10 industries across more than 400 locations worldwide. We draw upon our global capabilities to help clients identify, develop, implement and operate effective strategies to meet their evolving customer and citizen expectations. <br /><br />More than 4000 committed Members work for CGI in Germany at 22 locations. The business focus of our locations in Darmstadt, Bochum, Cologne and Duesseldorf is the industry Space, Defence and Intelligence and we support our customers with reliable systems, innovative solutions and qualified experts in the planning and execution of national and international space missions.<br />",jobs.de@cgi.com,+49 6151 42853-50
Open Cosmos,"Electron Building, Fermi Ave, Didcot OX11, UK","Open Cosmos is revolutionising the way space technology is used and is at the forefront of the emerging new space industry. Our mission is to make space accessible to anyone, to help solve the world’s biggest challenges. We do this by providing simple and affordable space missions, using nanosatellite technology, providing end to end space missions for customers around the world (private and institutional). ",eugene@open-cosmos.com,
Spaceopal,"Munich, Germany","Spaceopal GmbH, with headquarters in Munich, is a joint venture founded in 2009 by the partners DLR Gesellschaft für Raumfahrtanwendungen (GfR) mbH and Telespazio S.p.A. (a Leonardo and Thales Company).<br />",,
Spire Global,"Boulder, Glasgow, Luxembourg, San Francisco, Singapore, Washington D.C.","Spire Global is a space-to-cloud analytics company that owns and operates the largest multi-purpose constellation of satellites. Its proprietary data and algorithms provide the most advanced maritime, aviation, and weather tracking in the world. In addition to its constellation, Spire’s data infrastructure includes a global <a href=""https://spire.com/spirepedia/afasdf"">ground station</a> network and 24/7 operations that provide real-time global coverage of every point on Earth.<br /><br /><br />",jobs@spire.com,
LSE Space GmbH,"Friedrichshafener Str. 2, D-82205  Gilching, Germany","LSE Space was established in 1990 as an independent space consultancy and has been supporting satellite and manned missions for twenty-seven years in both the industrial and public sectors. LSE Space has a wide offering of spacecraft operations and ground systems engineering services. Also provides complete space consultancy services to satellite operators and supports all project phases, from designing and testing through to launch and operations.",info@lsespace.com,+49 (0) 8153 88 10 990
B2Space,"Merlin House, Langstone Business Park Newport NP18 2HJ,  United Kingdom",B2Space is a UK based start-up that will democratize Space access for the small and micro-satellites industry.,,
NEXT Ingegneria dei Sistemi,"Via Giacomo Peroni, 452 Rome 00131,  Italia","<i>Next - Ingegneria Dei Sistemi S.p.A.</i> (Systems Engineering Inc.) is a completely private Italian Company founded in 1999 with its legal head office in Rome. The Company is a leading provider of ICT systems and services for Defence, Aerospace, Transport and Telecommunications industries. It operates through its 4 Business Units – Telco &amp; Utilities, Space, Defence and Transport - supported by a Research and Innovation Department which has the dual role of promoting research on software at international level and transferring innovation to the Business Units.<br /><br />From 2018 Next is part of Defence Tech Holding S.p.A.<br />",,
ThrustMe,"Paris, France","ThrustMe is a deep-tech startup in the space industry, with the mission to make the space industry sustainable.
It was founded in early 2017 and leverages more than 10 years of applied and fundamental research at one of the most prestigious research centres in France. 
ThrustMe’s team is multidisciplinary with diverse backgrounds and work experience from research and industries such as medical devices, semiconductor, and aerospace.  
We are highly technically skilled - mastering subjects such as plasma physics, analog electronics, thermo- and fluid-dynamics, thermal engineering and are using tools from numerical simulation to dedicated experiments and manufacturing.
",careers@thrustme.fr,
VESTA SPACE TECHNOLOGY PVT LTD,"A 7 RAHUL NAGAR HOUSING SOCIETY, RAHUL NAGAR, 411038, India","VestaSpace Technology Pvt Ltd is a Pune based new space company established in 2018 with a vision to lead the privatization of the satellite industry in India. We are currently developing an indigenous small satellite platform with a primary focus on assembly, integration, testing, and operation of satellite.<br /><br />CubeSat and nanosatellite has spurred the growth of the utilization of small satellites for industrial applications. In this decade we will see the utilization of small satellites for industrial applications of the scale.<br /><br /><br />At Vestaspace Technology Pvt Ltd we build application-agnostic Small Satellite platforms. Our vision is to offer Small Satellite/s coupled with Earth Station/s and Launch Service as an integrated solution or individually as a technology solution for our prospective customers.  <br /><br /><br /><br /><br />",hr@vestaspacetech.net,
